fiscal_quarter,period_end,reported_date_approx,revenue_usd_m,revenue_yoy_pct,billings_usd_m,rpo_usd_m,dbnr_rate_pct,customers_arr_ge_100k,total_customers_k,customers_arr_1m,crpo_growth_pct,multi_product_4plus_pct,confidence,notes
2021Q1,2021-03-31,2021-05-06,198.5,73.8,,,,1437,,,,,medium,Revenue cross-checked against full-year 2021 total rather than the 8-K directly; customer count has a small (~2%) discrepancy vs. a later comparator figure (1406) and uses the directly-reported value.
2021Q2,2021-06-30,2021-08-05,233.5,66.8,,583,,1610,,,,,medium,Same revenue cross-check basis as 2021Q1; customer count has a small (~3%) discrepancy vs. a later comparator figure (1570) and uses the directly-reported value.
2021Q3,2021-09-30,2021-11-04,270.5,75.0,,718.6,,1800,,,,,medium,Same revenue cross-check basis as 2021Q1. An automated data pull mislabeled this quarter's revenue as Q1 2021 during retrieval; corrected using the full-year total.
2021Q4,2021-12-31,2022-02-10,326.2,83.7,,,,2010,,,,,medium,Same revenue cross-check basis as 2021Q1. RPO not found.
2022Q1,2022-03-31,2022-05-05,363.3,83.0,,857.9,,2250,,,,,medium,Same revenue cross-check basis as 2021Q1. RPO and customer count confirmed.
2022Q2,2022-06-30,2022-08-04,406.1,73.9,,881.4,,2420,,,,,medium,Same revenue cross-check basis as 2021Q1. RPO and customer count confirmed.
2022Q3,2022-09-30,2022-11-03,436.5,61.4,,941,,2600,,,,,medium,Same revenue cross-check basis as 2021Q1. This is roughly when cloud-cost optimization commentary begins.
2022Q4,2022-12-31,2023-02-16,469.4,43.9,536,1060,,2780,,,,,medium,Same revenue cross-check basis as 2021Q1. Billings confirmed.
2023Q1,2023-03-31,2023-05-04,481.71,25.44,511,1138.3,,2910,25.5,,,,high,Revenue RPO billings and customer count confirmed. NRR not filled.
2023Q2,2023-06-30,2023-08-08,509.46,25.43,,1252.5,,2990,26.1,,,,high,Revenue RPO and customer count confirmed. Billings and NRR not filled.
2023Q3,2023-09-30,2023-11-07,547.54,25.62,,,119,3130,26.8,,,,medium,NRR reported qualitatively as slightly below 120%; 119 is a point estimate. Billings not filled.
2023Q4,2023-12-31,2024-02-13,589.65,26.89,723,1840,,3190,27.3,396,45,,low,Billings RPO and total/1M-customer counts confirmed. cRPO growth reported qualitatively as mid-40s%. $100k-customer count derived from a later quarter's YoY comparison rather than read directly from this quarter's filing.
2024Q1,2024-03-31,2024-05-07,611.25,26.66,,1731.5,,3340,28.0,,,47,high,RPO and total customer count confirmed. 4-plus-product adoption confirmed. $100k-customer count derived from a later quarter's YoY comparison. Billings not filled.
2024Q2,2024-06-30,2024-08-08,645.28,26.02,,1790,,3390,28.7,,,46,high,RPO total customer count and 4-plus-product adoption confirmed. Billings not filled. The mid-to-high-90s figure disclosed this quarter is gross revenue retention rather than net revenue retention.
2024Q3,2024-09-30,2024-11-07,690.02,25.11,689,1820,115,3490,29.2,,,49,medium,Billings total customer count and 4-plus-product adoption confirmed. NRR reported qualitatively as mid-110s%; 115 is a point estimate.
2024Q4,2024-12-31,2025-02-13,737.73,24.59,,2270,118,3610,30.0,462,,50,medium,Total/1M-customer counts and 4-plus-product adoption confirmed. NRR reported qualitatively as high-110s%; 118 is a point estimate. Billings not filled (only a qualitative bookings comment was found rather than a precise figure).
2025Q1,2025-03-31,2025-05-06,761.55,28.12,748,,120,3770,30.5,,,51,medium,Billings total customer count and 4-plus-product adoption confirmed. NRR confirmed at 120%. RPO not filled for this quarter.
2025Q2,2025-06-30,2025-08-07,826.76,28.35,,2430,120,3850,,,,,high,RPO confirmed. NRR of 120% inferred from the following quarter's disclosure that it was unchanged. Billings not filled: a search result for this quarter returned figures identical to Q2 2026 (an apparent mislabeling) so left blank rather than use an unverified number. Total customer count and 4-plus-product adoption not found for this quarter.
2025Q3,2025-09-30,2025-11-06,885.65,29.21,893,2790,120,4060,,,51,54,high,Billings RPO NRR and 4-plus-product adoption confirmed. cRPO growth reported qualitatively as low-50s%. Total customer count not found for this quarter.
2025Q4,2025-12-31,2026-02-12,953.19,32.15,1210,3460,120,4310,32.7,,40,55,medium,Billings total/customer counts and 4-plus-product adoption confirmed. cRPO growth reported as about 40%. NRR of 120% inferred from the following quarter's disclosure.
2026Q1,2026-03-31,2026-05-07,1006.00,35.64,1030,3480,121,4550,,,45,,high,Billings RPO and customer count confirmed. cRPO growth reported qualitatively as mid-40s%. NRR reported qualitatively as low-120s%; 121 is a point estimate. Total customer count and 4-plus-product adoption not found for this quarter.
2026Q2,2026-06-30,2026-08-13,1121.00,36.0,1180,3470,121,4720,33.4,,40,,high,Billings RPO total customer count confirmed. cRPO growth reported as about 40%. NRR reported qualitatively as low-120s%; 121 is a point estimate. 4-plus-product adoption not found for this quarter.
2026Q3,2026-09-30,2026-11-06,,,,,,,,,,,n/a,Target quarter. All financial columns intentionally blank -- this is the quarter being nowcast.
